stock_id,start_date,end_date,SD_close,ED_close,combination,return,RT_%_Rank,remark,RT_rank,start_date2,SD_close2,end_date2,ED_close2,return2,avg_monthly_return,annualized_return
1234,2010-01-04,2010-12-31,12.27,18.61,201001-201101,0.51670742,20.072411613287212,winner,88.0,2011-01-07,18.28,2011-04-06,15.56,-0.14879649890590813,-0.05228489978318873,-0.47503106475497137
1301,2010-01-04,2010-12-31,33.48,51.57,201001-201101,0.54032258,20.419443724623225,winner,82.0,2011-01-07,48.56,2011-04-06,56.07,0.15465403624382204,0.04910097990127249,0.7774914161925472
1419,2010-01-04,2010-12-31,26.73,40.93,201001-201101,0.53123831,20.285947555296136,winner,83.0,2011-01-07,35.29,2011-04-06,30.94,-0.1232643808444318,-0.04290242248129705,-0.40915358601843255
1439,2010-01-04,2010-12-31,14.75,22.4,201001-201101,0.51864407,20.10087128658263,winner,87.0,2011-01-07,21.74,2011-04-06,20.95,-0.036338546458141635,-0.012262605668364679,-0.1376214411295379
1471,2010-01-04,2010-12-31,50.55,27.82,201001-201101,-0.44965381,5.871433175700313,loser,858.0,2011-01-07,26.85,2011-04-06,23.87,-0.11098696461824954,-0.038455525988987715,-0.37535608175783397
1476,2010-01-04,2010-12-31,10.63,20.28,201001-201101,0.90780809,25.81975743923244,winner,32.0,2011-01-07,20.12,2011-04-06,20.52,0.019880715705765335,0.0065834680697582915,0.08192590702531666
1506,2010-01-04,2010-12-31,12.93,25.6,201001-201101,0.97989172,26.87904877207388,winner,27.0,2011-01-07,25.6,2011-04-06,24.32,-0.050000000000000044,-0.016952427508441503,-0.18549375
1507,2010-01-04,2010-12-31,15.31,27.79,201001-201101,0.81515349,24.458169312664864,winner,42.0,2011-01-07,26.77,2011-04-06,30.2,0.12812850205453866,0.0410051002011671,0.6196988993883692
1516,2010-01-04,2010-12-31,67.18,14.99,201001-201101,-0.77686812,1.0629172537816758,loser,885.0,2011-01-07,14.54,2011-04-06,15.2,0.04539202200825311,0.014907340909532829,0.19430905676377863
1560,2010-01-04,2010-12-31,20.54,31.89,201001-201101,0.55258033,20.599575168269133,winner,78.0,2011-01-07,31.41,2011-04-06,40.54,0.2906717605858007,0.08877615931840377,1.7750015614785015
1565,2010-01-04,2010-12-31,96.78,207.3,201001-201101,1.14197148,29.26086118908202,winner,18.0,2011-01-07,211.04,2011-04-06,203.82,-0.03421152388172858,-0.011536418454729525,-0.12998232397851595
