combination,remark,count,mean_return2
201001-201007,loser,14,0.09601722376792472
201001-201007,winner,14,0.40763065469001064
201002-201008,loser,14,0.08292095076370949
201002-201008,winner,14,0.21345604208825839
201003-201009,loser,14,0.010229684945862178
201003-201009,winner,14,0.17384679009113624
201004-201010,loser,14,-0.10431767026069934
201004-201010,winner,14,0.09121659741202756
201005-201011,loser,14,-0.013023525648230201
201005-201011,winner,14,0.0678227262637492
201006-201012,loser,14,-0.03786499864972485
201006-201012,winner,14,0.037410771959577746
201007-201101,loser,14,-0.16689153218296995
201007-201101,winner,14,-0.048782450877431556
201008-201102,loser,14,-0.10916487968246248
201008-201102,winner,14,0.10487265864977105
201009-201103,loser,14,-0.22645501141965035
201009-201103,winner,14,0.004895491924445938
201010-201104,loser,14,-0.16407799867742515
201010-201104,winner,14,-0.1620547492081663
201011-201105,loser,14,-0.1890277142379704
201011-201105,winner,14,-0.13936082210257683
201012-201106,loser,14,-0.3718251985908932
201012-201106,winner,14,-0.301998348580718
201101-201107,loser,14,-0.3108726707077373
201101-201107,winner,14,-0.22891558467930215
201102-201108,loser,14,-0.1778802344335135
201102-201108,winner,14,-0.18273078863472694
201103-201109,loser,14,0.10138831013860264
201103-201109,winner,14,0.0008174085894968597
201104-201110,loser,14,0.15327605766652333
201104-201110,winner,14,0.23685057246310962
201105-201111,loser,14,0.061910426002394034
201105-201111,winner,14,0.026349326843632552
201106-201112,loser,14,0.14669336818206594
201106-201112,winner,14,0.16153639325669827
201107-201201,loser,14,0.11836780734079554
201107-201201,winner,14,0.07959473499949431
201108-201202,loser,14,-0.12108125333718377
201108-201202,winner,14,0.07666235292617019
201109-201203,loser,14,-0.19225638679130422
201109-201203,winner,14,-0.06796398382585628
201110-201204,loser,14,-0.028405724112038667
201110-201204,winner,14,-0.08693772974127245
201111-201205,loser,14,-0.08992076434252592
201111-201205,winner,14,0.018643227770423706
201112-201206,loser,14,0.011796175315630856
201112-201206,winner,14,0.030959696557583145
201201-201207,loser,14,0.06980435834904311
201201-201207,winner,14,0.06630917978053205
201202-201208,loser,14,0.10786475852679002
201202-201208,winner,14,0.0509372911690462
201203-201209,loser,14,0.0686764687618627
201203-201209,winner,14,0.13042044120760524
201204-201210,loser,14,0.195070807873238
201204-201210,winner,14,0.11974291742662087
201205-201211,loser,14,0.5893784147244877
201205-201211,winner,14,0.27197665581490965
201206-201212,loser,14,0.3375505069593081
201206-201212,winner,14,0.19157815192905542
201207-201301,loser,14,-0.04422628250354561
201207-201301,winner,14,0.0429957066331248
201208-201302,loser,14,0.10648924391074159
201208-201302,winner,14,0.08422627289311654
201209-201303,loser,14,0.004887028049764046
201209-201303,winner,14,-0.007645181859552216
201210-201304,loser,14,-0.00995385803344941
201210-201304,winner,14,0.12345247215249693
201211-201305,loser,14,0.03272294074132891
201211-201305,winner,14,-0.011832004557659303
201212-201306,loser,14,0.06363143488206885
201212-201306,winner,13,0.05148096476467149
201301-201307,loser,14,0.039807460496849134
201301-201307,winner,13,0.1414983984453243
201302-201308,loser,14,0.04766435155672721
201302-201308,winner,14,0.09677225100852271
201303-201309,loser,14,0.062806729206023
201303-201309,winner,14,0.19848737902160438
201304-201310,loser,14,0.006924184540911156
201304-201310,winner,14,0.2128016624925509
201305-201311,loser,14,0.08815605328030367
201305-201311,winner,13,0.053210887680108176
201306-201312,loser,14,0.25749447802953984
201306-201312,winner,12,0.05361820862919553
201307-201401,loser,14,0.22000845528606675
201307-201401,winner,13,0.1808038042499841
201308-201402,loser,14,0.17755322917333127
201308-201402,winner,13,0.08247177810217145
201309-201403,loser,14,0.20985051925438697
201309-201403,winner,13,0.07631739922375355
201310-201404,loser,14,0.12153067842078294
201310-201404,winner,14,0.06500046337278677
201311-201405,loser,14,-0.13061157918712624
201311-201405,winner,14,0.00843118934236461
201312-201406,loser,14,-0.10890607029943121
201312-201406,winner,14,-0.04750594782457802
201401-201407,loser,14,0.02736964288533907
201401-201407,winner,14,-0.03708782943201402
201402-201408,loser,14,-0.032632036485378914
201402-201408,winner,14,0.007906722384290873
201403-201409,loser,14,0.007755710763529887
201403-201409,winner,14,0.03582601035310751
201404-201410,loser,14,0.015896541969154594
201404-201410,winner,14,0.1364403552173805
201405-201411,loser,14,0.05920983663025197
201405-201411,winner,14,0.08716412494875295
201406-201412,loser,14,-0.04440428619428747
201406-201412,winner,14,0.15018283210875757
201407-201501,loser,14,-0.14697018017346344
201407-201501,winner,14,-0.0181899162046032
201408-201502,loser,14,-0.18967500669632784
201408-201502,winner,14,-0.0826793342740347
201409-201503,loser,14,-0.27827304774359407
201409-201503,winner,14,-0.041015733883983885
201410-201504,loser,14,-0.29457929706128977
201410-201504,winner,14,-0.1373379222417525
201411-201505,loser,14,-0.21931907493816025
201411-201505,winner,14,-0.1799979897288626
201412-201506,loser,14,-0.20724336495849202
201412-201506,winner,14,-0.17215614528271872
201501-201507,loser,14,-0.10893311391252294
201501-201507,winner,14,-0.17519512858844988
201502-201508,loser,14,0.07794034239403862
201502-201508,winner,14,-0.08259308761968943
201503-201509,loser,14,0.14522233940916868
201503-201509,winner,14,-0.07820776737586153
201504-201510,loser,14,0.07919117919434117
201504-201510,winner,14,-0.10187669416868332
201505-201511,loser,14,-0.043403502146548645
201505-201511,winner,14,-0.028431446944975337
201506-201512,loser,14,0.06966840130414861
201506-201512,winner,13,-0.06649093898936133
201507-201601,loser,14,0.05173968397844107
201507-201601,winner,13,-0.036762167532933
201508-201602,loser,14,0.09063178152546665
201508-201602,winner,14,0.12147478790315973
201509-201603,loser,14,0.06930009937575982
201509-201603,winner,14,0.09594323090715946
201510-201604,loser,14,0.07490753363588756
201510-201604,winner,14,0.08605219413133405
201511-201605,loser,14,0.08279169534084507
201511-201605,winner,14,0.13049961966557505
201512-201606,loser,14,0.03658320963049281
201512-201606,winner,14,0.2077846010295546
201601-201607,loser,14,0.07782302677660113
201601-201607,winner,14,0.03632168108479916
201602-201608,loser,14,-0.051135887776203204
201602-201608,winner,14,-0.011497901126703085
201603-201609,loser,14,0.1618318556431924
201603-201609,winner,14,0.01864298121951488
201604-201610,loser,14,0.16111324126858473
201604-201610,winner,14,-0.03227618417388851
201605-201611,loser,14,0.12050460191704014
201605-201611,winner,14,0.029891828168949364
201606-201612,loser,14,0.19206440705770755
201606-201612,winner,14,0.08996496379514006
201607-201701,loser,14,0.18451649204294082
201607-201701,winner,14,0.12281298718789281
201608-201702,loser,14,0.1329573301537121
201608-201702,winner,14,0.1496905492038127
