combination,remark,count,mean_return2
201201-201204,loser,14,-0.0005618189629251272
201201-201204,winner,14,-0.060241055154664394
201202-201205,loser,14,-0.07383149499908488
201202-201205,winner,14,-0.019373754996307748
201203-201206,loser,14,-0.025009516574016337
201203-201206,winner,14,0.11106132023481242
201204-201207,loser,14,0.06358167845756384
201204-201207,winner,14,0.14307184474532408
201205-201208,loser,14,-0.0978605577748599
201205-201208,winner,14,-0.006119512246925486
201206-201209,loser,14,-0.0874699879695137
201206-201209,winner,14,-0.0027712704869964724
201207-201210,loser,14,0.05377210840436403
201207-201210,winner,14,-0.027083047206831207
201208-201211,loser,14,0.23691101426772362
201208-201211,winner,14,0.03143315534553318
201209-201212,loser,14,0.10440314817877784
201209-201212,winner,14,0.07557466683586063
201210-201301,loser,14,0.10708057807029056
201210-201301,winner,14,0.0697086917990345
201211-201302,loser,14,-0.004675702486417105
201211-201302,winner,14,0.055913157482998306
201212-201303,loser,14,0.045232960477059395
201212-201303,winner,14,0.09916496589694081
201301-201304,loser,14,-0.0019113303620979132
201301-201304,winner,14,0.10006466532923897
201302-201305,loser,14,0.05418671305836794
201302-201305,winner,14,0.0008369992355938787
201303-201306,loser,14,0.01265008898849192
201303-201306,winner,14,0.0433252034665415
201304-201307,loser,14,0.03863410674973477
201304-201307,winner,14,0.039024001525688815
201305-201308,loser,14,-0.015211957115600859
201305-201308,winner,14,0.020997883412948615
201306-201309,loser,14,-0.06700158003323954
201306-201309,winner,14,0.1109610462907445
201307-201310,loser,14,-0.08882987351258241
201307-201310,winner,14,0.0942153827292328
201308-201311,loser,14,-0.03852436810573838
201308-201311,winner,14,0.008040638933662957
201309-201312,loser,14,0.05143296839749039
201309-201312,winner,13,0.01960490631605558
201310-201401,loser,14,0.0054823118215718645
201310-201401,winner,13,0.049194452397710545
201311-201402,loser,14,0.07472874430720965
201311-201402,winner,14,0.10830551415615726
201312-201403,loser,14,0.07897962334934663
201312-201403,winner,14,0.17394407579704835
201401-201404,loser,14,0.009279375270566036
201401-201404,winner,14,0.13740025701160283
201402-201405,loser,14,0.08284594502502955
201402-201405,winner,14,0.09260687620379279
201403-201406,loser,14,-0.04793235661542345
201403-201406,winner,14,0.01745202443101465
201404-201407,loser,14,-0.08496683011897126
201404-201407,winner,14,-0.10140870306799986
201405-201408,loser,14,-0.12626991700161308
201405-201408,winner,14,-0.053171020792055476
201406-201409,loser,14,-0.06655290313504243
201406-201409,winner,14,-0.028544713464644496
201407-201410,loser,14,0.07859067984987056
201407-201410,winner,14,0.013461258016120279
201408-201411,loser,14,0.06010932843272864
201408-201411,winner,14,0.09812541675937315
201409-201412,loser,14,0.0912001598930431
201409-201412,winner,14,0.0798368282356521
201410-201501,loser,14,0.051732541088620375
201410-201501,winner,14,0.06736588633927278
201411-201502,loser,14,-0.004104266428590421
201411-201502,winner,14,0.06567263570924911
201412-201503,loser,14,0.014413124894407684
201412-201503,winner,14,-0.06965813385781185
201501-201504,loser,14,-0.13237935234042353
201501-201504,winner,14,-0.0021844264822822868
201502-201505,loser,14,-0.30078511982400574
201502-201505,winner,14,-0.14441239283452564
