stock_id,start_date,end_date,SD_close,ED_close,combination,return,RT_%_Rank,remark,RT_rank,start_date2,SD_close2,end_date2,ED_close2,return2,avg_monthly_return,annualized_return
1235,2010-01-04,2010-09-30,10.31,15.46,201001-201010,0.49951503,18.474477012041778,winner,80.0,2010-10-01,15.52,2011-03-31,8.58,-0.4471649484536082,-0.09406036229574877,-0.6943734057816984
1236,2010-01-04,2010-09-30,10.55,15.78,201001-201010,0.4957346,18.419833544547025,winner,81.0,2010-10-01,15.64,2011-03-31,15.44,-0.012787723785166308,-0.002142732816868609,-0.02541192169072637
1418,2010-01-04,2010-09-30,13.8,9.66,201001-201010,-0.3,6.918047306063234,loser,809.0,2010-10-01,9.67,2011-03-31,11.85,0.22543950361944154,0.034463836045798946,0.501701977031064
1439,2010-01-04,2010-09-30,14.75,23.16,201001-201010,0.57016949,19.4957377385648,winner,67.0,2010-10-01,23.03,2011-03-31,20.54,-0.1081198436821538,-0.018889891749098275,-0.20454978676645452
1449,2010-01-04,2010-09-30,21.12,32.16,201001-201010,0.52272727,18.80999368128851,winner,74.0,2010-10-01,32.56,2011-03-31,24.81,-0.23802211302211312,-0.044295286343868034,-0.4193896997567145
1468,2010-01-04,2010-09-30,11.2,16.8,201001-201010,0.5,18.481486913674907,winner,79.0,2010-10-01,16.65,2011-03-31,13.15,-0.2102102102102101,-0.03856797149410507,-0.3762320879437998
1471,2010-01-04,2010-09-30,50.55,33.91,201001-201010,-0.32917903,6.496284867046123,loser,832.0,2010-10-01,32.66,2011-03-31,23.73,-0.2734231475811389,-0.051842991363126534,-0.4720860775291007
1476,2010-01-04,2010-09-30,10.63,20.49,201001-201010,0.9275635,24.66161780201125,winner,22.0,2010-10-01,21.91,2011-03-31,20.46,-0.06617982656321311,-0.011347030122593194,-0.12797988368248892
1507,2010-01-04,2010-09-30,15.31,25.32,201001-201010,0.65382103,20.704862152156934,winner,49.0,2010-10-01,25.7,2011-03-31,29.38,0.1431906614785992,0.022554453875509584,0.30688488849187867
1516,2010-01-04,2010-09-30,67.18,35.0,201001-201010,-0.47901161,4.330559879442817,loser,885.0,2010-10-01,32.57,2011-03-31,14.15,-0.565551120663187,-0.12972512230884115,-0.8112541712429873
